title,note,url,tags,comment,source_list,status,google_place_id,google_name,google_maps_uri,formatted_address,neighborhood,city,state,country,country_code,postal_code,latitude,longitude,primary_type,google_types,business_status,google_rating,review_count,price_level,match_status
Pappa Ciccia,Buena pizza para take away,https://www.google.com/maps/place/Pappa+Ciccia/data=!4m2!3m1!1s0x48760f9f0554af5b:0xb339d2676a155fa2,,,London,visited,ChIJW69UBZ8PdkgRol8VamfSObM,Pappa Ciccia,https://maps.google.com/?cid=12914584748064858018&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"105 Munster Rd, London SW6 5RQ, UK",,Greater London,England,United Kingdom,GB,SW6 5RQ,51.476072699999996,-0.2092024,pizza_restaurant,"pizza_restaurant, pizza_delivery, catering_service, meal_delivery, food_delivery, grocery_store, italian_restaurant, meal_takeaway, food_store, store, service, restaurant, food, point_of_interest, establishment",OPERATIONAL,4.6,701.0,PRICE_LEVEL_MODERATE,RESOLVED_FROM_URL
The Princess Royal Pub & Boutique Hotel Notting Hill,,https://www.google.com/maps/place/The+Princess+Royal+Pub+%26+Boutique+Hotel+Notting+Hill/data=!4m2!3m1!1s0x487610021b5df5a1:0x5cf37bdb30b9451e,,,London,visited,ChIJofVdGwIQdkgRHkW5MNt781w,The Princess Royal Pub & Boutique Hotel Notting Hill,https://maps.google.com/?cid=6697833252175562014&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"47 Hereford Rd, London W2 5AH, UK",,Greater London,England,United Kingdom,GB,W2 5AH,51.515586,-0.19433599999999998,pub,"pub, gastropub, bar, hotel, lodging, restaurant, food, point_of_interest, establishment",OPERATIONAL,4.4,685.0,,RESOLVED_FROM_URL
AGORA souvla bar,,https://www.google.com/maps/place/AGORA+souvla+bar/data=!4m2!3m1!1s0x48760355467ce93b:0x1aeee3ddc86c07b5,,,London,visited,ChIJO-l8RlUDdkgRtQdsyN3j7ho,AGORA souvla bar,https://maps.google.com/?cid=1940739031133063093&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"4 Bedale St, London SE1 9AL, UK",,Greater London,England,United Kingdom,GB,SE1 9AL,51.505369,-0.08999159999999999,restaurant,"restaurant, point_of_interest, food, establishment",OPERATIONAL,4.6,1282.0,PRICE_LEVEL_MODERATE,RESOLVED_FROM_URL
B Bagel,,https://www.google.com/maps/place/B+Bagel/data=!4m2!3m1!1s0x4876056364e36f0f:0x889aec2a11393685,,,London,visited,ChIJD2_jZGMFdkgRhTY5ESrsmog,B Bagel,https://maps.google.com/?cid=9843439600993384069&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"236D Fulham Rd., London SW10 9NB, UK",,Greater London,England,United Kingdom,GB,SW10 9NB,51.4852,-0.182417,bagel_shop,"bagel_shop, sandwich_shop, coffee_shop, cafe, bakery, supplier, food_store, manufacturer, store, restaurant, food, point_of_interest, establishment",OPERATIONAL,4.8,2556.0,PRICE_LEVEL_INEXPENSIVE,RESOLVED_FROM_URL
La Fromagerie,,https://www.google.com/maps/place/La+Fromagerie/data=!4m2!3m1!1s0x48761ad20372fc43:0x1757998f7724c280,,,London,visited,ChIJQ_xyA9IadkgRgMIkd4-ZVxc,La Fromagerie,https://maps.google.com/?cid=1681981827304440448&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"2-6 Moxon St, London W1U 4EW, UK",,Greater London,England,United Kingdom,GB,W1U 4EW,51.519882499999994,-0.1523168,restaurant,"restaurant, coffee_shop, cafe, liquor_store, food_store, store, food, point_of_interest, establishment",OPERATIONAL,4.5,880.0,PRICE_LEVEL_MODERATE,RESOLVED_FROM_URL
Crunch - sandwich[up]rising,,https://www.google.com/maps/place/Crunch+-+sandwich%5Bup%5Drising/data=!4m2!3m1!1s0x487605514ffcd71b:0x726ad1fc9059863d,,,London,visited,ChIJG9f8T1EFdkgRPYZZkPzRanI,Crunch - sandwich[up]rising,https://maps.google.com/?cid=8244632950538864189&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"60 Dean St, London W1D 6AW, UK",,Greater London,England,United Kingdom,GB,W1D 6AW,51.5128212,-0.1320505,sandwich_shop,"sandwich_shop, restaurant, food, point_of_interest, establishment",OPERATIONAL,4.5,1100.0,PRICE_LEVEL_INEXPENSIVE,RESOLVED_FROM_URL
Brat x Climpson's Arch,,https://www.google.com/maps/place/Brat+x+Climpson's+Arch/data=!4m2!3m1!1s0x48761dd50689a233:0xd7e85b76f70f8f98,,,London,visited,ChIJM6KJBtUddkgRmI8P93Zb6Nc,Brat x Climpson's Arch,https://maps.google.com/?cid=15557785479260639128&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"374 Helmsley Pl, London E8 3SB, UK",,Greater London,England,United Kingdom,GB,E8 3SB,51.539560599999994,-0.058389500000000004,restaurant,"restaurant, point_of_interest, food, establishment",OPERATIONAL,4.3,846.0,,RESOLVED_FROM_URL
Mad Cats,,https://www.google.com/maps/place/Mad+Cats/data=!4m2!3m1!1s0x48761d075a3f37d5:0x29664a8094ef8b1b,,,London,visited,ChIJ1Tc_WgcddkgRG4vvlIBKZik,Mad Cats,https://maps.google.com/?cid=2983153719294528283&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"107 Redchurch St, London E2 7DL, UK",,Greater London,England,United Kingdom,GB,E2 7DL,51.5248499,-0.0724119,restaurant,"restaurant, cocktail_bar, bar, food, point_of_interest, establishment",OPERATIONAL,4.7,276.0,PRICE_LEVEL_MODERATE,RESOLVED_FROM_URL
Josephine Bouchon - Chelsea,Buenísimo frances,https://www.google.com/maps/place/Josephine+Bouchon+-+Chelsea/data=!4m2!3m1!1s0x4876050049d1ec0d:0xe43cc0c98587981a,,,London,visited,ChIJDezRSQAFdkgRGpiHhcnAPOQ,Josephine Bouchon - Chelsea,https://maps.google.com/?cid=16446231911011424282&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"315A Fulham Rd., London SW10 9QH, UK",,Greater London,England,United Kingdom,GB,SW10 9QH,51.486561800000004,-0.1794704,french_restaurant,"french_restaurant, restaurant, food, point_of_interest, establishment",OPERATIONAL,4.1,481.0,,RESOLVED_FROM_URL
District - Battersea Park,Lugar deli para trabajar ,https://www.google.com/maps/place/District+-+Battersea+Park/data=!4m2!3m1!1s0x487605270392b365:0x875cbc96eae973f7,,,London,visited,ChIJZbOSAycFdkgR93Pp6pa8XIc,District - Battersea Park,https://maps.google.com/?cid=9753878249349936119&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"49 Parkgate Rd, London SW11 4NP, UK",,Greater London,England,United Kingdom,GB,SW11 4NP,51.479194299999996,-0.16699699999999998,cafe,"cafe, wine_bar, bar, food, point_of_interest, establishment",OPERATIONAL,4.6,233.0,PRICE_LEVEL_INEXPENSIVE,RESOLVED_FROM_URL
BookBar Chelsea,Libreria para leer o trabajar con cafesito muy agusto,https://www.google.com/maps/place/BookBar+Chelsea/data=!4m2!3m1!1s0x487605b4d11b3eef:0x128b3f1cc890087f,,,London,visited,ChIJ7z4b0bQFdkgRfwiQyBw_ixI,BookBar Chelsea,https://maps.google.com/?cid=1336231107302000767&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"11 Chelsea Manor St, London SW3 3TW, UK",,Greater London,England,United Kingdom,GB,SW3 3TW,51.4880674,-0.1679329,book_store,"book_store, coffee_shop, cafe, food_store, food, store, point_of_interest, establishment",OPERATIONAL,4.8,117.0,,RESOLVED_FROM_URL
New Forms,Bar y cafe muy agusto para platicar. El matcha esta deli! Tienen viniles y musica con audio muy pro,https://www.google.com/maps/place/New+Forms/data=!4m2!3m1!1s0x487605dd70c906c3:0xc032c01ca696e02c,,,London,visited,ChIJwwbJcN0FdkgRLOCWphzAMsA,New Forms,https://maps.google.com/?cid=13849343033404219436&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"9 Chelsea Manor St, London SW3 3TW, UK",,Greater London,England,United Kingdom,GB,SW3 3TW,51.488168699999996,-0.16801900000000003,cocktail_bar,"cocktail_bar, event_venue, bar, store, point_of_interest, establishment",OPERATIONAL,4.8,92.0,PRICE_LEVEL_MODERATE,RESOLVED_FROM_URL
ACRE,Comida deli! El toast de ostiones uff,https://www.google.com/maps/place/ACRE/data=!4m2!3m1!1s0x4876111056f8d687:0xa5f8696374cee5fb,,,London,visited,ChIJh9b4VhARdkgR--XOdGNp-KU,ACRE,https://maps.google.com/?cid=11959424686364747259&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"60 Golborne Rd, London W10 5PR, UK",,Greater London,England,United Kingdom,GB,W10 5PR,51.5224219,-0.2080272,restaurant,"restaurant, food, point_of_interest, establishment",OPERATIONAL,4.2,154.0,PRICE_LEVEL_EXPENSIVE,RESOLVED_FROM_URL
The Faltering Fullback,Pub para ver deportes y hay comida thai,https://www.google.com/maps/place/The+Faltering+Fullback/data=!4m2!3m1!1s0x48761b90611aa6a9:0xdbcd51b011b3430c,,,London,visited,ChIJqaYaYZAbdkgRDEOzEbBRzds,The Faltering Fullback,https://maps.google.com/?cid=15838405281184957196&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"19 Perth Rd, Finsbury Park, London N4 3HB, UK",Finsbury Park,Greater London,England,United Kingdom,GB,N4 3HB,51.568549999999995,-0.10820969999999999,irish_pub,"irish_pub, pub, bar, restaurant, food, point_of_interest, establishment",OPERATIONAL,4.5,3430.0,PRICE_LEVEL_MODERATE,RESOLVED_FROM_URL
Over Under Coffee,,https://www.google.com/maps/place/Over+Under+Coffee/data=!4m2!3m1!1s0x48760f8b68e4904f:0xf4bc8f5e12c977e9,,,London,visited,ChIJT5DkaIsPdkgR6XfJEl6PvPQ,Over Under Coffee,https://maps.google.com/?cid=17635127875080910825&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"181A Earls Ct Rd, London SW5 9RD, UK",,Greater London,England,United Kingdom,GB,SW5 9RD,51.492406599999995,-0.1929628,coffee_shop,"coffee_shop, breakfast_restaurant, brunch_restaurant, cafe, food_store, store, restaurant, food, point_of_interest, establishment",OPERATIONAL,4.2,1246.0,PRICE_LEVEL_MODERATE,RESOLVED_FROM_URL
FILTRD,,https://www.google.com/maps/place/FILTRD/data=!4m2!3m1!1s0x4876053afa7b5da5:0xd6859bfa86f1c7c6,,,London,visited,ChIJpV17-joFdkgRxsfxhvqbhdY,FILTRD,https://maps.google.com/?cid=15457932796327217094&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"51-53 Shelton St, London WC2H 9JU, UK",,Greater London,England,United Kingdom,GB,WC2H 9JU,51.514463899999996,-0.12401409999999999,cafe,"cafe, brunch_restaurant, coffee_shop, food_store, store, restaurant, food, point_of_interest, establishment",OPERATIONAL,4.2,204.0,PRICE_LEVEL_INEXPENSIVE,RESOLVED_FROM_URL
Eel Sushi Bar,Deli el winter menu! Super calidad,https://www.google.com/maps/place/Eel+Sushi+Bar/data=!4m2!3m1!1s0x487611001bbbe42d:0xd552e77a435971e5,,,London,visited,ChIJLeS7GwARdkgR5XFZQ3rnUtU,Eel Sushi Bar,https://maps.google.com/?cid=15371602990470885861&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"118 Talbot Rd, London W11 1JR, UK",,Greater London,England,United Kingdom,GB,W11 1JR,51.5168417,-0.2007619,japanese_restaurant,"japanese_restaurant, restaurant, food, point_of_interest, establishment",OPERATIONAL,3.8,240.0,,RESOLVED_FROM_URL
Story Coffee - Brunch and Cafe,,https://www.google.com/maps/place/Story+Coffee+-+Brunch+and+Cafe/data=!4m2!3m1!1s0x48760f1f3bcc62b9:0xd70f0879442a3cc7,,,London,visited,ChIJuWLMOx8PdkgRxzwqRHkID9c,Story Coffee,https://maps.google.com/?cid=15496614159732849863&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"Ram Quarter, 15 Barley Walk, London SW18 1UL, UK",,Greater London,England,United Kingdom,GB,SW18 1UL,51.45718900000001,-0.19350789999999998,coffee_shop,"coffee_shop, brunch_restaurant, cake_shop, breakfast_restaurant, cafe, pastry_shop, dessert_shop, confectionery, bakery, food_store, manufacturer, store, wholesaler, restaurant, food, point_of_interest, service, establishment",OPERATIONAL,4.0,807.0,PRICE_LEVEL_MODERATE,RESOLVED_FROM_URL
It's Bagels Notting Hill,,https://www.google.com/maps/place/It's+Bagels+Notting+Hill/data=!4m2!3m1!1s0x48760f629ff54ba5:0xbefb0767cac3af92,,,London,visited,ChIJpUv1n2IPdkgRkq_DymcH-74,It's Bagels Notting Hill,https://maps.google.com/?cid=13761601228725530514&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"120 Kensington Park Rd, London W11 2PW, UK",,Greater London,England,United Kingdom,GB,W11 2PW,51.513119599999996,-0.20396689999999998,bagel_shop,"bagel_shop, brunch_restaurant, coffee_shop, breakfast_restaurant, meal_takeaway, cafe, bakery, food_store, store, restaurant, food, point_of_interest, establishment",OPERATIONAL,4.2,850.0,PRICE_LEVEL_MODERATE,RESOLVED_FROM_URL
Dove Restaurant,,https://www.google.com/maps/place/Dove+Restaurant/data=!4m2!3m1!1s0x4876118aacddb611:0x12530b5e47bc4324,,,London,visited,ChIJEbbdrIoRdkgRJEO8R14LUxI,Dove Restaurant,https://maps.google.com/?cid=1320411615308038948&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"31 Kensington Park Rd, London W11 2EU, UK",,Greater London,England,United Kingdom,GB,W11 2EU,51.51539210000001,-0.20593619999999999,british_restaurant,"british_restaurant, restaurant, food, point_of_interest, establishment",OPERATIONAL,4.4,810.0,PRICE_LEVEL_EXPENSIVE,RESOLVED_FROM_URL
Dorian Restaurant,La mejor carne del mundo por mucho,https://www.google.com/maps/place/Dorian+Restaurant/data=!4m2!3m1!1s0x48761165d6785947:0x13c5c116da4ae866,,,London,visited,ChIJR1l41mURdkgRZuhK2hbBxRM,Dorian Restaurant,https://maps.google.com/?cid=1424757161028413542&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"105, 107 Talbot Rd, London W11 2AT, UK",,Greater London,England,United Kingdom,GB,W11 2AT,51.516601599999994,-0.2006305,restaurant,"restaurant, point_of_interest, food, establishment",OPERATIONAL,3.8,719.0,PRICE_LEVEL_VERY_EXPENSIVE,RESOLVED_FROM_URL
"The Holland, Kensington",Gastropub local deli y muy agusto,"https://www.google.com/maps/place/The+Holland,+Kensington/data=!4m2!3m1!1s0x48760f83be90b989:0x2bb23347c964bd2b",,,London,visited,ChIJibmQvoMPdkgRK71kyUczsis,"The Holland, Kensington",https://maps.google.com/?cid=3148635472899915051&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"25 Earls Ct Rd, London W8 6EB, UK",,Greater London,England,United Kingdom,GB,W8 6EB,51.498177999999996,-0.1978859,gastropub,"gastropub, bar, restaurant, point_of_interest, food, establishment",OPERATIONAL,4.6,291.0,PRICE_LEVEL_MODERATE,RESOLVED_FROM_URL
Compane,,https://www.google.com/maps/place/Compane/data=!4m2!3m1!1s0x48761b08aba486b5:0x2854e65e43875863,,,London,visited,ChIJtYakqwgbdkgRY1iHQ17mVCg,Compane,https://maps.google.com/?cid=2906200952095070307&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"47 Camden Passage, London N1 8EA, UK",,Greater London,England,United Kingdom,GB,N1 8EA,51.5354167,-0.1033627,coffee_shop,"coffee_shop, cafe, food_store, food, store, point_of_interest, establishment",OPERATIONAL,4.7,120.0,PRICE_LEVEL_INEXPENSIVE,RESOLVED_FROM_URL
BAO Noodle Shop,,https://www.google.com/maps/place/BAO+Noodle+Shop/data=!4m2!3m1!1s0x48761ddde7c030f1:0xab65baefda1490f0,,,London,visited,ChIJ8TDA590ddkgR8JAU2u-6Zas,BAO Noodle Shop,https://maps.google.com/?cid=12350483092452184304&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"1 Redchurch St, London E2 7DJ, UK",,Greater London,England,United Kingdom,GB,E2 7DJ,51.524387000000004,-0.0769656,taiwanese_restaurant,"taiwanese_restaurant, noodle_shop, night_club, karaoke, bar, restaurant, food, point_of_interest, establishment",OPERATIONAL,4.5,1669.0,PRICE_LEVEL_MODERATE,RESOLVED_FROM_URL
EQUAL PARTS,,https://www.google.com/maps/place/EQUAL+PARTS/data=!4m2!3m1!1s0x48761d6230a1de73:0xcd8d2e442311bfa2,,,London,visited,ChIJc96hMGIddkgRor8RI0Qujc0,EQUAL PARTS,https://maps.google.com/?cid=14811545619672448930&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"245 Hackney Rd, London E2 8NA, UK",,Greater London,England,United Kingdom,GB,E2 8NA,51.531148599999995,-0.0694854,cocktail_bar,"cocktail_bar, bar, point_of_interest, establishment",OPERATIONAL,4.6,366.0,PRICE_LEVEL_MODERATE,RESOLVED_FROM_URL
Miga,,https://www.google.com/maps/place/Miga/data=!4m2!3m1!1s0x48761d00378845b5:0xa11dc3975c479366,,,London,visited,ChIJtUWINwAddkgRZpNHXJfDHaE,Miga,https://maps.google.com/?cid=11609650469286679398&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"1 Mare St, London E8 4RP, UK",,Greater London,England,United Kingdom,GB,E8 4RP,51.534533599999996,-0.0576598,korean_restaurant,"korean_restaurant, restaurant, food, point_of_interest, establishment",OPERATIONAL,4.6,635.0,PRICE_LEVEL_MODERATE,RESOLVED_FROM_URL
Katsute 100,,https://www.google.com/maps/place/Katsute+100/data=!4m2!3m1!1s0x48761b5d3da5113f:0xc721de43fb65c1d7,,,London,visited,ChIJPxGlPV0bdkgR18Fl-0PeIcc,Katsute 100,https://maps.google.com/?cid=14348994271341035991&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"100 Islington High St, London N1 8EG, UK",,Greater London,England,United Kingdom,GB,N1 8EG,51.5342224,-0.1044229,cafe,"cafe, brunch_restaurant, tea_store, beer_garden, tea_house, coffee_shop, deli, japanese_restaurant, bar, pastry_shop, dessert_shop, confectionery, bakery, food_store, store, restaurant, food, point_of_interest, establishment",OPERATIONAL,4.4,1203.0,PRICE_LEVEL_INEXPENSIVE,RESOLVED_FROM_URL
Bancone Covent Garden,Pasta deli! Pedirse la tradicional con yema y nuez,https://www.google.com/maps/place/Bancone+Covent+Garden/data=!4m2!3m1!1s0x487604ce7e57942f:0x2ba07c05296427b,,,London,visited,ChIJL5RXfs4EdkgRe0KWUsAHugI,Bancone Covent Garden,https://maps.google.com/?cid=196478056344732283&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"39 William IV St, London WC2N 4DD, UK",,Greater London,England,United Kingdom,GB,WC2N 4DD,51.5095795,-0.1264051,italian_restaurant,"italian_restaurant, restaurant, food, point_of_interest, establishment",OPERATIONAL,4.4,4001.0,PRICE_LEVEL_MODERATE,RESOLVED_FROM_URL
Zephyr Notting Hill,,https://www.google.com/maps/place/Zephyr+Notting+Hill/data=!4m2!3m1!1s0x48760f73148e5029:0x2c3d98b80abddcdf,,,London,visited,ChIJKVCOFHMPdkgR39y9CriYPSw,Zephyr Notting Hill,https://maps.google.com/?cid=3187872027469798623&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"100 Portobello Rd, London W11 2QD, UK",,Greater London,England,United Kingdom,GB,W11 2QD,51.5133132,-0.20261289999999998,greek_restaurant,"greek_restaurant, restaurant, food, point_of_interest, establishment",OPERATIONAL,4.5,1092.0,,RESOLVED_FROM_URL
Tamila,,https://www.google.com/maps/place/Tamila/data=!4m2!3m1!1s0x487605f775554e5d:0x6a1694154dae82e0,,,London,visited,ChIJXU5VdfcFdkgR4IKuTRWUFmo,Tamila,https://maps.google.com/?cid=7644460236726502112&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"39 Northcote Rd, London SW11 1NJ, UK",,Greater London,England,United Kingdom,GB,SW11 1NJ,51.4596722,-0.16624619999999998,restaurant,"restaurant, food, point_of_interest, establishment",OPERATIONAL,4.5,404.0,PRICE_LEVEL_MODERATE,RESOLVED_FROM_URL
Dāku Coffee Kensington,,https://www.google.com/maps/place/D%C4%81ku+Coffee+Kensington/data=!4m2!3m1!1s0x48760fb34cba3ed5:0x9949825642abe13b,,,London,visited,ChIJ1T66TLMPdkgRO-GrQlaCSZk,Dāku Coffee Kensington,https://maps.google.com/?cid=11045502868100211003&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"100 Kensington High St, London W8 4SG, UK",,Greater London,England,United Kingdom,GB,W8 4SG,51.501276999999995,-0.1929357,coffee_shop,"coffee_shop, cafe, food_store, store, food, point_of_interest, establishment",OPERATIONAL,4.3,313.0,PRICE_LEVEL_INEXPENSIVE,RESOLVED_FROM_URL
The Delaunay,,https://www.google.com/maps/place/The+Delaunay/data=!4m2!3m1!1s0x487605b13a03ae5d:0xae1464e156fc8208,,,London,visited,ChIJXa4DOrEFdkgRCIL8VuFkFK4,The Delaunay,https://maps.google.com/?cid=12543761781123482120&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"55 Aldwych, London WC2B 4BB, UK",,Greater London,England,United Kingdom,GB,WC2B 4BB,51.5131702,-0.11822370000000001,austrian_restaurant,"austrian_restaurant, european_restaurant, restaurant, food, point_of_interest, establishment",OPERATIONAL,4.5,4030.0,,RESOLVED_FROM_URL
Cahoots Underground,,https://www.google.com/maps/place/Cahoots+Underground/data=!4m2!3m1!1s0x487604d507ab69fb:0xbbfbc270f421a878,,,London,visited,ChIJ-2mrB9UEdkgReKgh9HDC-7s,Cahoots Underground,https://maps.google.com/?cid=13545634094634870904&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"13 Kingly Ct, Carnaby, London W1B 5PW, UK",Carnaby,Greater London,England,United Kingdom,GB,W1B 5PW,51.512482399999996,-0.1385496,cocktail_bar,"cocktail_bar, live_music_venue, event_venue, bar, point_of_interest, establishment",OPERATIONAL,4.6,5283.0,PRICE_LEVEL_MODERATE,RESOLVED_FROM_URL
The Wigmore,Cheese tostie deliii!! Un pub muy bueno como para invierno,https://www.google.com/maps/place/The+Wigmore/data=!4m2!3m1!1s0x48761ad5a81aaaab:0xae8e509962b393a5,,,London,visited,ChIJq6oaqNUadkgRpZOzYplQjq4,The Wigmore,https://maps.google.com/?cid=12578079429008528293&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"15 Langham Pl, London W1B 3DE, UK",,Greater London,England,United Kingdom,GB,W1B 3DE,51.5174988,-0.1432782,pub,"pub, bar, restaurant, food, point_of_interest, establishment",OPERATIONAL,4.6,1689.0,PRICE_LEVEL_MODERATE,RESOLVED_FROM_URL
Firebird | Restaurant & Wine Bar,"Tuna tartar, stake tartar y halloumi deli!!! El lugar muy agusto, la margarita con mezcal buenisima",https://www.google.com/maps/place/Firebird+%7C+Restaurant+%26+Wine+Bar/data=!4m2!3m1!1s0x48761b3d79fc3b5b:0x2b517b3f5f64160,,,London,visited,ChIJWzv8eT0bdkgRYEH29bMXtQI,Firebird,https://maps.google.com/?cid=195088220553625952&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"29 Poland St, London W1F 8QR, UK",,Greater London,England,United Kingdom,GB,W1F 8QR,51.51542,-0.1374429,mediterranean_restaurant,"mediterranean_restaurant, wine_bar, bar, restaurant, food, point_of_interest, establishment",OPERATIONAL,4.6,829.0,,RESOLVED_FROM_URL
Waxy O'Connor's London,,https://www.google.com/maps/place/Waxy+O'Connor's+London/data=!4m2!3m1!1s0x487604d3cadafa23:0x13b38a07e7631340,,,London,visited,ChIJI_raytMEdkgRQBNj5weKsxM,Waxy O'Connor's London,https://maps.google.com/?cid=1419630074103272256&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"14-16 Rupert St, London W1D 6DD, UK",,Greater London,England,United Kingdom,GB,W1D 6DD,51.510832,-0.13233599999999998,irish_pub,"irish_pub, live_music_venue, pub, sports_bar, bar, event_venue, restaurant, point_of_interest, food, establishment",OPERATIONAL,4.5,9691.0,PRICE_LEVEL_MODERATE,RESOLVED_FROM_URL
Experimental Cocktail Club Chinatown,Lugar que cierra tarde para drinksx pedirse el Kota ternate y negroni. Buen ambiente,https://www.google.com/maps/place/Experimental+Cocktail+Club+Chinatown/data=!4m2!3m1!1s0x487604d24c1e7bd3:0xdef97653196fb5fd,,,London,visited,ChIJ03seTNIEdkgR_bVvGVN2-d4,Experimental Cocktail Club Chinatown,https://maps.google.com/?cid=16067003244902069757&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"13a Gerrard St, London W1D 5PS, UK",,Greater London,England,United Kingdom,GB,W1D 5PS,51.5119233,-0.13102719999999998,cocktail_bar,"cocktail_bar, bar, point_of_interest, establishment",OPERATIONAL,4.0,1227.0,PRICE_LEVEL_MODERATE,RESOLVED_FROM_URL
The Devonshire,,https://www.google.com/maps/place/The+Devonshire/data=!4m2!3m1!1s0x487605074d79cfb1:0x3f0b094216e3000e,,,London,visited,ChIJsc95TQcFdkgRDgDjFkIJCz8,The Devonshire,https://maps.google.com/?cid=4542734828589744142&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"The Devonshire, 17 Denman St, London W1D 7HW, UK",,Greater London,England,United Kingdom,GB,W1D 7HW,51.510627500000005,-0.1353358,pub,"pub, bar, restaurant, food, point_of_interest, establishment",OPERATIONAL,4.4,3135.0,,RESOLVED_FROM_URL
